preco,area,quartos,banheiros,andares,acesso_rodovia,quarto_hospede,porao,aquecimento_agua,ar_condicionado,vagas_estacionamento,area_preferencial,status_mobilia_sem-mobilia,status_mobilia_semi-mobiliada
3395000,338.156,2,1,1,1,0,0,0,0,0,0,0,0
3360000,325.15,4,1,2,1,0,0,0,1,2,0,1,0
3360000,460.784,4,1,3,0,0,0,0,0,0,0,0,1
3360000,382.748,2,1,2,1,0,0,0,0,0,0,1,0
3360000,441.275,2,1,1,1,0,0,0,0,0,0,1,0
3360000,345.58799999999997,2,1,1,0,0,0,0,1,0,0,1,0
3360000,348.375,3,1,1,1,0,0,0,0,0,0,1,0
3360000,287.99,3,1,2,0,0,1,0,0,0,0,0,1
3360000,295.8865,2,1,1,1,0,1,0,0,2,0,0,0
3353000,250.82999999999998,3,1,1,0,0,0,0,0,0,0,0,0
3332000,199.2705,3,1,2,1,0,1,0,0,0,1,0,0
3325000,375.316,2,1,1,1,0,0,0,0,1,0,1,0
3325000,443.59749999999997,4,1,2,1,0,0,0,0,0,0,1,0
3290000,232.25,2,1,1,0,0,0,0,1,0,0,1,0
3290000,295.42199999999997,4,1,2,1,0,1,0,1,0,0,1,0
3290000,562.9739999999999,3,1,1,1,1,1,0,0,0,0,0,0
3290000,323.292,4,1,2,0,0,0,0,0,1,0,0,1
3290000,352.2768,4,1,2,1,0,0,0,0,0,0,0,1
3290000,375.316,2,1,1,1,0,0,0,0,0,0,1,0
3290000,199.2705,3,1,2,1,0,1,0,0,0,1,0,0
3290000,546.252,3,1,1,1,0,0,0,0,1,0,1,0
3255000,418.05,2,1,1,0,0,0,0,0,0,0,0,1
3255000,365.097,2,1,1,0,0,0,0,0,0,0,1,0
3234000,338.156,4,1,2,1,0,1,0,0,0,0,1,0
3220000,405.97299999999996,3,1,2,1,0,0,0,0,0,0,1,0
3220000,249.34359999999998,2,1,1,1,0,0,0,1,1,0,1,0
3220000,401.328,3,1,1,0,0,0,0,0,1,0,1,0
3220000,289.848,3,1,2,0,0,0,0,0,0,0,0,0
3150000,320.505,1,1,1,1,0,0,0,0,0,0,0,0
3150000,370.2994,2,2,1,0,1,1,0,0,1,0,1,0
3150000,325.15,2,1,1,0,0,1,0,0,0,0,0,1
3150000,380.4255,2,1,1,1,0,0,0,0,2,0,0,1
3150000,153.285,3,1,2,0,0,1,0,0,0,0,1,0
3150000,320.505,3,1,2,1,0,1,0,0,0,0,0,1
3150000,627.0749999999999,2,1,1,1,0,0,0,0,0,0,0,1
3150000,836.1,3,1,2,1,0,0,0,0,2,0,0,1
3150000,285.1101,2,1,1,1,0,0,0,0,1,0,1,0
3143000,418.05,3,1,2,1,0,0,0,1,0,0,1,0
3129000,510.4855,3,1,1,1,0,1,0,0,0,0,1,0
3118850,222.77419999999998,3,1,1,1,0,0,0,0,0,1,0,1
3115000,278.7,3,1,1,0,0,0,0,1,0,0,1,0
2432500,357.66499999999996,3,1,2,1,0,0,0,0,0,0,1,0
3115000,325.15,2,1,1,1,0,0,0,0,0,0,1,0
3087000,752.49,2,1,1,1,0,0,0,0,1,0,1,0
3080000,460.784,2,1,1,1,0,1,0,1,0,0,1,0
3080000,200.664,3,1,2,0,0,1,0,0,0,0,0,1
3080000,287.061,2,1,1,1,1,1,0,0,0,0,1,0
3080000,418.05,2,1,2,1,0,0,1,0,1,0,0,1
3045000,353.02,2,1,1,1,0,0,0,0,0,0,1,0
3010000,287.061,3,1,2,0,0,0,0,0,0,0,0,1
3010000,300.996,3,1,2,1,0,0,0,0,2,0,0,1
3010000,263.37149999999997,2,1,1,1,0,0,0,0,0,0,0,1
3010000,427.34,2,1,1,1,0,0,0,0,0,0,0,0
3010000,471.56039999999996,3,1,1,0,0,0,0,0,0,0,1,0
3010000,348.375,3,1,2,1,0,0,0,0,0,0,1,0
3010000,337.227,4,1,2,1,0,0,0,0,3,0,0,1
3003000,747.845,2,1,1,1,0,0,0,0,0,0,1,0
2975000,404.3008,4,1,2,0,0,0,0,0,1,0,1,0
2961000,278.7,2,1,2,1,0,0,0,0,0,0,0,1
2940000,543.465,3,1,2,1,0,1,0,0,1,0,1,0
2940000,460.784,2,1,1,1,0,0,0,0,0,0,1,0
2940000,334.44,3,1,2,0,0,0,0,0,1,0,1,0
2940000,340.014,4,1,2,0,0,0,0,0,0,0,1,0
2940000,323.292,3,1,2,0,0,0,0,0,1,0,0,1
2940000,250.82999999999998,2,1,1,0,0,0,0,0,0,0,0,0
2940000,292.635,3,1,2,0,0,0,0,0,0,0,1,0
2940000,614.5335,3,1,2,1,0,0,0,0,0,0,0,1
2870000,282.416,2,1,1,0,0,0,0,0,0,0,1,0
2870000,337.227,2,1,1,1,0,0,0,0,0,0,1,0
2870000,557.4,2,1,1,1,0,0,0,0,0,0,0,1
2870000,501.65999999999997,4,1,2,1,0,0,0,0,0,0,1,0
2852500,483.08,4,1,3,1,0,0,0,0,0,0,1,0
2835000,306.57,3,1,2,0,0,0,0,0,1,0,0,1
2835000,404.115,3,1,2,0,0,0,1,0,1,0,1,0
2835000,245.256,2,1,1,0,0,0,0,0,1,0,0,0
2800000,246.185,3,1,2,1,0,1,0,0,1,0,1,0
2800000,367.88399999999996,3,1,1,1,0,0,0,0,0,0,0,0
2730000,631.72,2,1,1,1,0,0,0,0,0,0,1,0
2730000,371.59999999999997,3,1,2,1,0,0,0,0,1,0,1,0
2660000,365.4686,2,1,1,1,0,0,0,0,0,0,1,0
2660000,185.79999999999998,2,1,2,1,0,0,0,0,0,0,0,1
2660000,337.227,3,3,2,0,1,0,0,0,0,0,1,0
2660000,260.12,3,1,1,1,0,0,0,0,0,0,1,0
2660000,225.74699999999999,3,1,1,0,0,0,0,0,0,0,1,0
2660000,323.292,2,1,1,1,0,0,0,0,1,0,0,1
2660000,371.59999999999997,3,1,1,1,0,0,0,0,0,0,0,1
2653000,295.8865,2,1,1,1,0,0,0,1,0,0,1,0
2653000,371.59999999999997,3,1,2,1,0,0,0,1,0,0,1,0
2604000,270.339,2,1,1,0,0,0,0,0,0,0,1,0
2590000,334.44,2,1,1,1,0,0,0,0,0,0,1,0
2590000,408.76,2,1,1,1,0,0,0,0,0,0,1,0
2590000,334.44,2,2,2,1,0,1,0,0,1,0,0,0
2520000,267.55199999999996,3,1,1,0,0,0,0,0,0,0,1,0
2520000,295.42199999999997,3,1,1,0,0,0,0,0,0,0,1,0
2520000,278.7,2,1,2,1,0,0,0,0,0,0,0,0
2485000,408.76,3,1,2,1,0,0,0,0,0,0,1,0
2485000,278.7,3,1,2,0,0,0,0,0,0,0,0,1
2450000,298.209,3,1,2,1,0,1,0,0,0,0,1,0
2450000,300.996,2,1,1,0,1,0,0,0,1,0,1,0
2450000,278.7,2,1,1,1,0,0,0,0,1,0,1,0
2450000,325.15,2,1,1,1,1,0,0,0,0,0,1,0
2450000,449.63599999999997,2,1,2,1,0,0,0,0,0,0,1,0
2450000,715.3299999999999,2,1,1,1,0,0,0,0,0,0,1,0
2408000,337.69149999999996,2,1,1,0,0,0,0,0,0,0,1,0
2380000,229.92749999999998,3,1,2,1,0,0,0,0,0,0,0,0
2380000,258.9123,4,2,2,1,0,0,0,0,0,0,0,0
2380000,303.2256,2,1,1,1,0,0,0,0,0,0,1,0
2310000,295.42199999999997,2,1,1,1,0,0,0,0,0,0,1,0
2275000,170.5644,2,1,1,0,0,1,0,0,0,0,0,1
2275000,368.813,1,1,1,0,0,0,0,0,0,0,1,0
2275000,368.813,3,1,2,1,0,1,0,0,0,0,1,0
2240000,181.155,3,1,1,0,0,0,1,0,0,0,1,0
2233000,492.37,3,1,1,0,0,0,0,1,0,1,1,0
2135000,278.7,2,1,1,0,0,0,0,0,0,0,1,0
2100000,222.95999999999998,3,1,2,1,0,0,0,0,0,0,1,0
2100000,278.7,4,1,2,1,0,0,0,0,0,0,1,0
2100000,312.144,2,1,1,1,0,0,0,0,1,0,1,0
1960000,317.71799999999996,5,1,2,0,0,0,0,0,0,0,1,0
1890000,157.93,3,1,2,1,0,0,0,0,0,0,1,0
1890000,338.9921,2,1,1,1,0,0,0,0,0,0,1,0
1855000,277.771,2,1,1,0,0,0,0,0,1,0,1,0
1820000,278.7,2,1,1,1,0,1,0,0,2,0,1,0
1767150,222.95999999999998,3,1,1,0,0,0,0,0,0,0,0,1
1750000,336.298,2,1,1,1,0,0,0,0,0,0,1,0
1750000,270.339,3,1,1,0,0,0,0,0,0,0,0,0
